epoch metrics/precision(B) metrics/recall(B) metrics/mAP50(B) metrics/mAP50-95(B)
1 0.11442 0.14577 0.10871 0.05707
2 0.58814 0.28017 0.24577 0.16909
3 0.55139 0.2596 0.23116 0.15493
4 0.78535 0.27755 0.28477 0.20497
5 0.76736 0.30105 0.32047 0.23159
6 0.43262 0.40374 0.3519 0.25601
7 0.57954 0.37397 0.32731 0.23886
8 0.60592 0.34673 0.32191 0.24107
9 0.35745 0.51637 0.42401 0.31938
10 0.64639 0.37828 0.36713 0.27315
11 0.66243 0.38393 0.39504 0.29263
12 0.49716 0.41741 0.3693 0.27791
13 0.26391 0.52352 0.40389 0.30567
14 0.63026 0.40707 0.39532 0.29194
15 0.51292 0.51406 0.45427 0.35264
16 0.36629 0.5589 0.45315 0.35513
17 0.38357 0.58256 0.49314 0.38329
18 0.55053 0.47798 0.49651 0.38629
19 0.35317 0.61208 0.46801 0.3646
20 0.42594 0.57583 0.50647 0.39433
21 0.51032 0.57702 0.56222 0.43664
22 0.70446 0.43014 0.54711 0.43728
23 0.4394 0.60515 0.54684 0.43459
24 0.5103 0.6339 0.59034 0.46261
25 0.48418 0.63881 0.5729 0.45491
26 0.50287 0.61764 0.5862 0.47019
27 0.49069 0.51812 0.53744 0.42977
28 0.54503 0.60676 0.58061 0.46627
29 0.58801 0.66956 0.67662 0.53643
30 0.48396 0.66278 0.58564 0.46859
31 0.59245 0.67824 0.67042 0.53576
32 0.5806 0.66512 0.67962 0.54113
33 0.51149 0.64772 0.60252 0.49408
34 0.63969 0.67102 0.66084 0.52389
35 0.50521 0.6029 0.56481 0.45202
36 0.64416 0.71406 0.70656 0.56911
37 0.60953 0.62541 0.61245 0.4865
38 0.6533 0.66852 0.69863 0.56261
39 0.55714 0.6677 0.65012 0.52065
40 0.59125 0.73646 0.70905 0.57608
41 0.68137 0.6687 0.70974 0.56873
42 0.68709 0.70447 0.73823 0.59098
43 0.62086 0.72763 0.7216 0.57702
44 0.64792 0.69677 0.6958 0.55307
45 0.66912 0.63282 0.68276 0.55084
46 0.57554 0.74091 0.69936 0.55208
47 0.62953 0.67618 0.67387 0.54509
48 0.65114 0.66498 0.68146 0.54618
49 0.6711 0.67004 0.70288 0.56661
50 0.5962 0.7363 0.69949 0.56647
51 0.53194 0.6908 0.63247 0.50959
52 0.63209 0.68488 0.68598 0.55263
53 0.79456 0.58452 0.71878 0.57813
54 0.666 0.67227 0.73071 0.59946
55 0.63712 0.68656 0.69419 0.56902
56 0.64711 0.70553 0.7145 0.58731
57 0.59316 0.71846 0.68392 0.56539
58 0.55427 0.69663 0.61995 0.49953
59 0.72665 0.73041 0.77376 0.63256
60 0.63918 0.71406 0.73127 0.60818
61 0.66869 0.64211 0.69106 0.56784
62 0.65993 0.72436 0.70822 0.57549
63 0.71395 0.72417 0.75655 0.60319
64 0.71569 0.74225 0.76063 0.62435
65 0.7435 0.7492 0.78647 0.64905
66 0.64865 0.71338 0.73841 0.61149
67 0.73831 0.71658 0.75903 0.61383
68 0.72858 0.69913 0.76234 0.63155
69 0.69602 0.70151 0.7585 0.62244
70 0.67075 0.75558 0.74714 0.62024
71 0.6886 0.69006 0.74706 0.62067
72 0.65302 0.69441 0.70155 0.57402
73 0.76678 0.74412 0.80492 0.67196
74 0.71983 0.74805 0.78598 0.64411
75 0.68747 0.76408 0.76737 0.63002
76 0.74854 0.70596 0.76162 0.62857
77 0.69723 0.70534 0.7346 0.61427
78 0.70627 0.73952 0.76534 0.62789
79 0.77037 0.74139 0.807 0.65822
80 0.75931 0.73348 0.79535 0.652
81 0.73105 0.73013 0.7542 0.62332
82 0.67568 0.79752 0.79328 0.65364
83 0.74511 0.76112 0.79655 0.65356
84 0.77059 0.75633 0.80097 0.65914
85 0.71514 0.70561 0.75427 0.62462
86 0.71532 0.72959 0.76689 0.64039
87 0.73732 0.76439 0.79568 0.64914
88 0.70188 0.70715 0.74326 0.61247
89 0.67045 0.72192 0.74004 0.61392
90 0.72633 0.75756 0.76639 0.63781
91 0.78075 0.70624 0.77414 0.64422
92 0.77142 0.75617 0.81067 0.67258
93 0.70509 0.69838 0.7423 0.619
94 0.71735 0.73078 0.76799 0.63728
95 0.74756 0.78782 0.8122 0.67861
96 0.73679 0.76557 0.79296 0.65462
97 0.72163 0.73238 0.77364 0.64678
98 0.76493 0.69144 0.78545 0.65063
99 0.77066 0.76571 0.79398 0.66187
100 0.7124 0.73249 0.74406 0.6178
101 0.79189 0.78762 0.81633 0.68302
102 0.75158 0.7333 0.79129 0.66053
103 0.73477 0.73603 0.77648 0.64506
104 0.72381 0.74967 0.78374 0.66212
105 0.75229 0.75242 0.79607 0.66167
106 0.77768 0.7233 0.79232 0.6679
