epoch metrics/precision(B) metrics/recall(B) metrics/mAP50(B) metrics/mAP50-95(B)
1 0.4086 0.36709 0.28639 0.21446
2 0.43508 0.34235 0.2317 0.16982
3 0.25872 0.35832 0.30369 0.21267
4 0.37485 0.52468 0.36416 0.2546
5 0.51356 0.49585 0.39593 0.30078
6 0.61699 0.46123 0.45964 0.33945
7 0.39694 0.53617 0.44449 0.3378
8 0.35023 0.56286 0.41968 0.31924
9 0.44384 0.63688 0.54863 0.42548
10 0.46921 0.56541 0.52657 0.40763
11 0.50219 0.60467 0.56933 0.44287
12 0.57114 0.61743 0.60657 0.47138
13 0.56584 0.6164 0.61515 0.46742
14 0.57733 0.63139 0.62593 0.48292
15 0.6043 0.61362 0.61795 0.48187
16 0.48677 0.62407 0.56347 0.43986
17 0.62802 0.6205 0.64707 0.51316
18 0.59549 0.63352 0.65376 0.51986
19 0.5875 0.61285 0.60254 0.47691
20 0.56789 0.586 0.59529 0.46918
21 0.70022 0.65317 0.71728 0.56466
22 0.63302 0.70086 0.699 0.55392
23 0.59306 0.73307 0.70976 0.56003
24 0.56178 0.61264 0.57838 0.46138
25 0.54886 0.69522 0.62722 0.49724
26 0.61634 0.62122 0.65597 0.52247
27 0.58683 0.72553 0.70735 0.57248
28 0.68249 0.69373 0.7213 0.58516
29 0.69474 0.71463 0.76777 0.61544
30 0.70439 0.75384 0.76158 0.61665
31 0.6612 0.69752 0.71632 0.58169
32 0.72681 0.65695 0.7259 0.58487
33 0.6438 0.72681 0.72878 0.5934
34 0.69171 0.69714 0.74606 0.59657
35 0.6332 0.62796 0.67376 0.54024
36 0.6284 0.72327 0.72948 0.58229
37 0.65478 0.63057 0.71111 0.58247
38 0.66457 0.68777 0.73003 0.598
39 0.71931 0.70789 0.74044 0.59439
40 0.69486 0.69836 0.71392 0.57476
41 0.66005 0.64694 0.69299 0.56696
42 0.58877 0.69557 0.69133 0.56625
43 0.72817 0.71898 0.78024 0.63441
44 0.66773 0.652 0.69641 0.56752
45 0.71567 0.72227 0.7674 0.63684
